theme,content
動物,キリンの首の骨は7個
動物,ゾウはジャンプできない
動物,イカの心臓は3つある
動物,シロクマの肌は実は黒
動物,フラミンゴは赤い鳥
動物,カバの汗はピンク色
動物,蟻は眠らないらしい
動物,ダチョウの脳は目より小
動物,牛は階段を上がれない
動物,ワニは舌を動かせない
宇宙,太陽は止まっていない
宇宙,地球の回転は遅くなる
宇宙,月は毎年少し離れる
宇宙,海の底に金が眠っている
科学,ダイヤモンドは燃える
科学,水は凍ると膨らむ
科学,光は1秒に地球7周半
科学,雷は太陽表面より熱い
動物,ペンギンは空を飛べない
動物,ナマケモノは週一トイレ
動物,コアラの指紋は人間酷似
動物,カンガルーは後退不能
宇宙,土星の輪は氷の粒
宇宙,金星の一日は一年より長
宇宙,宇宙は無臭ではない
宇宙,火星の夕焼けは青い
科学,ガラスは実は超高粘度液
科学,バナナは放射能を出す
科学,ガリウムは手の上で溶ける
歴史,ピラミッドは重機なし造
歴史,忍者は走る時手を振らぬ
歴史,昔、香椒は金と同じ価値
歴史,江戸時代はリサイクル社会
食べ物,ハチミツは腐らない
食べ物,苺はバラ科の植物
食べ物,スイカは野菜に分類
食べ物,チョコは昔、薬だった
スポーツ,初期のゴルフボールは木
スポーツ,テニスの0点は愛
スポーツ,相撲の土俵は神聖な場所
健康,笑うと免疫力が上がる
健康,人間の骨は鉄より強い
健康,脳は20ワットで動く
健康,瞬きは一生で約1億回
生活,五円玉の穴は節約のため
生活,トランプの合計は365
生活,消しゴムは昔パンだった
生活,切手の裏は糊が塗ってある
IT,最初のマウスは木製
IT,WiFiの語源には諸説あり
IT,世界初のPCは部屋サイズ
ことば,「こんにちは」は元々挨拶
ことば,「さよなら」は接続詞
動物,ラッコは手を繋ぎ眠る
動物,タコは脳が9つある
科学,リンゴは水に浮く
科学,音は水中の方が速い
宇宙,冥王星は地球より小さい
宇宙,海王星は風が猛烈
歴史,真田幸村の本名は信繁
歴史,織田信長は甘党だった
食べ物,レモンは蜜柑より酸っぱい
スポーツ,卓球は昔、食堂で誕生
生活,鏡は左右ではなく前後反転
IT,バグの語源は本物の虫
IT,キーボードはQWERTY
科学,雪の結晶はすべて違う形
科学,植物もストレスを感じる
